STATUS | wrapper  | 2010/09/23 16:22:37 | INT trapped.  Shutting down.
STATUS | wrapper  | 2010/09/23 16:22:38 | <-- Wrapper Stopped
STATUS | wrapper  | 2010/09/23 16:22:43 | --> Wrapper Started as Console
STATUS | wrapper  | 2010/09/23 16:22:43 | Launching a JVM...
INFO   | jvm 1    | 2010/09/23 16:22:44 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2010/09/23 16:22:44 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2010/09/23 16:22:44 | 
INFO   | jvm 1    | 2010/09/23 16:22:44 | Request: http://bosted204.bosted.net:5984/downloadinator/_changes?since=0&filter=
INFO   | jvm 1    | 2010/09/23 16:22:44 | Read JSONObject: {"last_seq":6,"results":[{"id":"77a0e646ac8e902e22452181ea000e72","seq":2,"deleted":true,"changes":[{"rev":"2-0535e74787027567f1478e5e5828ad21"}]},{"id":"77a0e646ac8e902e22452181ea000e80","seq":4,"deleted":true,"changes":[{"rev":"2-e3311312eb811b25706a3ae370983bf8"}]},{"id":"77a0e646ac8e902e22452181ea001d61","seq":6,"deleted":true,"changes":[{"rev":"2-a549220043d83ec6e71e18d0a3e03767"}]}]}
INFO   | jvm 1    | 2010/09/23 16:22:44 | Request: http://bosted204.bosted.net:5984/downloadinator/_changes?feed=continuous&limit=1&since=2&filter=
INFO   | jvm 1    | 2010/09/23 16:22:44 | Request: http://bosted204.bosted.net:5984/downloadinator/_changes?feed=continuous&limit=1&since=4&filter=
INFO   | jvm 1    | 2010/09/23 16:22:44 | Request: http://bosted204.bosted.net:5984/downloadinator/_changes?feed=continuous&limit=1&since=6&filter=
STATUS | wrapper  | 2010/09/23 16:22:47 | INT trapped.  Shutting down.
STATUS | wrapper  | 2010/09/23 16:22:48 | <-- Wrapper Stopped
